
=== CAPTURE 2026-09-03T16:00:41.518748 ===
16:01:25.261 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:25.266 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:25.278 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:25.285 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:25.297 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:25.302 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:25.309 | B1 36 7E     | CC 36 value=7E                      | control_change channel=1 control=54 value=126 time=0
16:01:25.314 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:25.326 | B1 36 76     | CC 36 value=76                      | control_change channel=1 control=54 value=118 time=0
16:01:25.338 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:25.345 | B1 36 73     | CC 36 value=73                      | control_change channel=1 control=54 value=115 time=0
16:01:25.350 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:25.362 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:25.374 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:25.381 | B1 36 7E     | CC 36 value=7E                      | control_change channel=1 control=54 value=126 time=0
16:01:25.386 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:29.658 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:29.665 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:29.670 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:29.677 | B1 36 79     | CC 36 value=79                      | control_change channel=1 control=54 value=121 time=0
16:01:29.682 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:29.689 | B1 36 79     | CC 36 value=79                      | control_change channel=1 control=54 value=121 time=0
16:01:29.706 | B1 36 72     | CC 36 value=72                      | control_change channel=1 control=54 value=114 time=0
16:01:29.713 | B1 36 74     | CC 36 value=74                      | control_change channel=1 control=54 value=116 time=0
16:01:29.718 | B1 36 75     | CC 36 value=75                      | control_change channel=1 control=54 value=117 time=0
16:01:29.725 | B1 36 71     | CC 36 value=71                      | control_change channel=1 control=54 value=113 time=0
16:01:29.730 | B1 36 76     | CC 36 value=76                      | control_change channel=1 control=54 value=118 time=0
16:01:29.742 | B1 36 72     | CC 36 value=72                      | control_change channel=1 control=54 value=114 time=0
16:01:29.749 | B1 36 75     | CC 36 value=75                      | control_change channel=1 control=54 value=117 time=0
16:01:29.754 | B1 36 71     | CC 36 value=71                      | control_change channel=1 control=54 value=113 time=0
16:01:29.766 | B1 36 75     | CC 36 value=75                      | control_change channel=1 control=54 value=117 time=0
